,Title,Company Name,Location,Salary,Posted on,day
0,"626 - Data Analyst (SQL, Python with BI tools)",Software Companies,"Hyderabad, Telangana",-,Posted12 days ago,12
44,ArcGis Analyst,CGI Inc,"Hyderabad, Telangana",-,Posted26 days ago,26
50,Python Developer,BigTapp Analytics Pte Ltd,"Temporarily Remote in Hyderabad, Telangana","₹6,00,000 - ₹8,00,000 a year",EmployerActive 29 days ago,29
48,Python Developer,Constella Intelligence,"Punjagutta, Hyderabad, Telangana","₹15,00,000 a year",Posted30+ days ago,30
43,Associate Analyst - HR Analytics,Deloitte,"Hyderabad, Telangana",-,Posted30+ days ago,30
55,IBM ODM,Larsen & Toubro Infotech Limited,"Hyderabad, Telangana",-,Posted30+ days ago,30
57,Software Developer (Perl with Python),S&P Global,"Hyderabad, Telangana",-,Posted30+ days ago,30
59,Python Developer IV - IN,Rackspace,"Hyderabad, Telangana",-,Posted30+ days ago,30
40,newCustomer Engineer,Microsoft,"Hyderabad, Telangana",-,PostedToday,100
27,newBussiness Analyst,Viswam Edutech solutions Pvt Limited,"Temporarily Remote in Hyderabad, Telangana",-,PostedToday,100
